country,region,Antisemitism Index,"Population, total","Population, female (% of total)","Population, male (% of total)",GDP per capita (current US$),Internet users (per 100 people),"Labor force, female (% of total labor force)",Official entrance age to pre-primary education (years),"Unemployment, total (% of total labor force)","Unemployment, female (% of female labor force)",Democracy Index
Lao PDR,Asia,0.2,6223861.846153846,50.26921394379102,49.73078605620898,1264.9206080990286,8.24225858446154,50.17104127923403,3.0,1.4384615146196778,1.2384615678053668,22.1
Latvia,Eastern/Central/Southern Europe,28.0,2105812.076923077,54.16148900565786,45.83851099434214,12583.434324815169,65.31340536461539,49.39124196232178,3.0,11.761538468874422,10.615384542025051,74.80000000000001
Lebanon,Muslim-majority,78.0,4682121.461538462,49.28181740914167,50.71818259085833,7555.650649054688,42.77613736307693,23.140556243797228,3.0,6.946153750786416,11.292307706979607,51.2
Libya,Muslim-majority,87.0,6077889.230769231,48.96155296529635,51.03844703470365,9630.891644715937,11.485159720583333,25.464186855482147,4.0,17.761538505554192,26.584615267240093,38.0
Lithuania,Eastern/Central/Southern Europe,36.0,3103260.5384615385,53.84031884031277,46.159681159687224,12691.633731358419,58.119808637692316,49.992878654151795,3.0,10.361538410186768,9.146153853489803,75.4
Malaysia,Muslim-majority,61.0,28160184.53846154,48.50539263666708,51.49460736333294,8566.201820297543,58.73805698076923,35.92238980153651,4.0,3.2769230695871205,3.569230813246508,64.9
Mauritius,Sub-Saharan Africa,44.0,1247598.7692307692,50.44528139538083,49.554718604619175,7933.515266430207,30.545147264615384,37.10162574988085,3.0,8.076923113602858,12.99230773632343,81.7
Mexico,Latin America,24.0,117229982.92307693,50.23612245689332,49.76387754310668,9034.535569029998,33.268291107692306,35.61791823507359,3.8461538461538463,4.392307739991408,4.600000014671912,66.8
Moldova,Eastern/Central/Southern Europe,30.0,3569198.769230769,51.985916412163824,48.014083587836176,1601.9089218839306,35.061302576923076,49.30400398221569,3.0,5.853846146510198,4.6076923700479355,63.2
Mongolia,Asia,26.0,2735003.846153846,50.375057261989845,49.62494273801016,2739.9197376504794,14.924422439,45.74265792012872,3.230769230769231,6.2461538314819345,6.030769219765298,66.2
Montenegro,Eastern/Central/Southern Europe,29.0,618603.2307692308,50.7529361304354,49.24706386956458,6167.749879031534,43.80089386769232,44.10957268131812,3.0,18.79230778033918,19.353846329909114,59.400000000000006
Morocco,Muslim-majority,80.0,32554426.46153846,50.62771714149907,49.37228285850093,2701.5200691256023,40.310641774615384,26.427123241245788,4.0,9.73846156780537,10.2538460951585,40.0
Netherlands,Western Europe/North America,5.0,16615125.076923076,50.347313973800084,49.65268602619993,48735.22004726468,87.60370391923077,45.50459894713809,3.6153846153846154,5.023076937748836,5.346153846153846,89.2
New Zealand,Western Europe/North America,14.0,4351938.461538462,50.912636654049074,49.08736334595093,34533.83316612615,77.18195273307691,46.74053455095296,3.0,5.015384637392483,5.353846146510198,92.6
Nigeria,Sub-Saharan Africa,16.0,159409814.84615386,49.42491852239367,50.57508147760633,1904.2208432540042,12.778486880153848,44.5115123330252,3.0,6.623076915740968,7.9153846227205715,37.599999999999994
Norway,Western Europe/North America,15.0,4898559.461538462,50.017134546279735,49.982865453720265,84349.88446941593,90.67706649,47.28354517450741,3.0,3.5384615568014293,3.1923076923076925,99.3
Oman,Muslim-majority,76.0,3221852.230769231,39.455983522163706,60.544016477836294,17485.955472907473,38.589921144076925,16.46087231061274,4.0,18.230769084050106,35.94615408090445,31.5
Panama,Latin America,52.0,3647009.923076923,49.766715651519306,50.233284348480694,8786.185364295698,34.80167370769231,37.589346698843684,4.0,6.276923069587117,8.376923157618602,70.8
Paraguay,Latin America,35.0,6214521.0,49.29059563731513,50.70940436268488,3165.0881036345863,24.407199874307693,39.34469344229144,3.0,5.792307706979605,7.3000000440157375,62.599999999999994
Peru,Latin America,38.0,29442456.923076924,50.039265611711876,49.960734388288124,4822.784056777904,31.83167236076923,45.34939353717183,3.0,5.892307684971736,6.807692344372089,65.4
Philippines,Asia,3.0,93886111.53846154,49.61712331319574,50.38287668680426,2121.4979641076743,25.746613438153847,39.026770574847994,5.0,7.430769260113058,7.23076912072989,67.69999999999999
Poland,Eastern/Central/Southern Europe,45.0,38080186.76923077,51.644527049025825,48.355472950974175,11791.133362775978,56.45745355692308,45.04428514883948,3.0,10.600000198070829,11.261538542233989,74.7
Portugal,Eastern/Central/Southern Europe,21.0,10489647.307692308,52.125540493897624,47.874459506102376,21262.493089744607,51.8386201123077,47.70891948101699,3.0,10.69999999266405,11.399999985328094,77.9
Qatar,Muslim-majority,80.0,1717029.8461538462,26.5890606340493,73.41093936595071,70050.93866125314,60.00578453384615,13.754044177899006,3.0,0.6461538500510725,2.653846176771017,31.8
Romania,Eastern/Central/Southern Europe,35.0,20432263.46153846,51.418573157172055,48.58142684282794,8060.670897132937,38.72397248615384,44.230214465687645,3.0,6.838461582477276,5.884615384615385,66.8
Russian Federation,Eastern/Central/Southern Europe,30.0,143365055.46153846,53.5545125873614,46.4454874126386,10264.162658711555,43.90064805999999,48.97870911461129,3.0,6.430769223433274,6.053846175854023,33.9
Saudi Arabia,Muslim-majority,74.0,27605519.846153848,43.83140599012201,56.16859400987799,19334.054387081367,42.88307078384616,15.169169445794969,3.0,5.64615378013024,17.92307699643648,18.2
